"row ID","cluster_0","cluster_2","cluster_1","Iteration"
"Iris-setosa#0",0,23,0,0
"Iris-versicolor#0",1,0,28,0
"Iris-virginica#0",19,0,4,0
"Iris-setosa#1",0,28,0,1
"Iris-versicolor#1",1,0,20,1
"Iris-virginica#1",19,0,7,1
"Iris-setosa#2",11,15,0,2
"Iris-versicolor#2",2,0,24,2
"Iris-virginica#2",0,0,23,2
"Iris-setosa#3",0,0,22,3
"Iris-versicolor#3",28,1,0,3
"Iris-virginica#3",7,17,0,3
"Iris-setosa#4",0,27,0,4
"Iris-versicolor#4",3,0,16,4
"Iris-virginica#4",23,0,6,4
"Iris-setosa#5",21,0,0,5
"Iris-versicolor#5",0,1,25,5
"Iris-virginica#5",0,20,8,5
"Iris-setosa#6",0,0,24,6
"Iris-versicolor#6",29,0,0,6
"Iris-virginica#6",5,17,0,6
"Iris-setosa#7",0,22,0,7
"Iris-versicolor#7",1,0,28,7
"Iris-virginica#7",19,0,5,7
"Iris-setosa#8",0,24,0,8
"Iris-versicolor#8",5,0,21,8
"Iris-virginica#8",24,0,1,8
"Iris-setosa#9",24,0,0,9
"Iris-versicolor#9",0,3,25,9
"Iris-virginica#9",0,22,1,9
